Dave,Steve,Graeme,html_url,number,title,labels,state,locked,milestone,comments,created_at,updated_at,closed_at,author_association,state_reason,assignee.login,body
,,,https://github.com/facebook/react/issues/10,10,Can't require() react-tools module,[],closed,False,,3,2013-05-30T03:46:02Z,2013-05-30T18:55:49Z,2013-05-30T12:14:18Z,NONE,completed,,"I'm trying to programatically invoke the JSX transformer (using the version of `react-tools` in the npm registry) by running something like

```
require('react-tools').transform(someCode);
```

Which then throws this error:

```
Error: Cannot find module './build/React'
```

If I comment out the lines in `main.js` that require/use `./build/React` the `react-tools` module loads fine and the transformer runs correctly.
"
,,,https://github.com/facebook/react/issues/90,90,Mocking not working with EventPluginRegistry,[],closed,False,,1,2013-06-14T01:37:03Z,2014-09-28T16:16:00Z,2013-06-14T21:39:10Z,MEMBER,completed,benjamn,"Since tests are injecting plugins with the same name multiple times, they fail. This shouldn't be happening since we `dumpCache` https://github.com/facebook/react/blob/master/src/eventPlugins/__tests__/AnalyticsEventPlugin-test.js#L33
"
,,,https://github.com/facebook/react/issues/98,98,React + Browserify module issues,[],closed,False,,4,2013-06-16T06:12:51Z,2013-08-14T17:01:34Z,2013-08-14T17:01:34Z,CONTRIBUTOR,completed,,"Hello! I've been using React and combining it with Browserify. My goal for this was to be able to use Node modules with React, by using this workflow:
1. Write JSX logic, include require()'s to installed Node modules
2. Use react-tools to compile the JSX to JS
3. Browserify said JS, which would then include the Node modules

However, the compiled JSX from react-tools changes something like `require('foo')` to `require('./foo')`, and creates a stub file. This very much breaks importing modules. This seems to happens because of `commoner`, which is part of the compiling workflow.

Is there a workaround for this? 
"
,,,https://github.com/facebook/react/issues/80,80,bin/jsx should not relativize required module IDs unless --relativize is passed,"[{""id"":40929153,""node_id"":""MDU6TGFiZWw0MDkyOTE1Mw=="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Enhancement"",""name"":""Type: Enhancement"",""color"":""84b6eb"",""default"":false,""description"":null}]",closed,False,,2,2013-06-11T16:17:39Z,2013-06-11T23:22:18Z,2013-06-11T23:22:18Z,CONTRIBUTOR,completed,benjamn,"Inspired by https://github.com/facebook/react/issues/71#issuecomment-19143496

This will reduce the number of assumptions imposed by `bin/jsx` considerably.

We should still use `--relativize` for our grunt tasks, but that's our poison to pick.

cc @petehunt @zpao
"
,,,https://github.com/facebook/react/issues/133,133,Consider allowing `setState` while UNMOUNTING,[],closed,False,,1,2013-06-28T03:32:56Z,2014-01-06T21:35:15Z,2014-01-06T21:35:15Z,CONTRIBUTOR,completed,,"Should we let people invoke `setState` in `componentWillUnmount`? It seems harmless, but currently we throw. In theory, `this.state` should be cleared out when unmounting (but we do not for backward compatibility reasons).

Aside, as we get better at clearing asynchronous callbacks on unmount, we should seriously consider clearing `this.state` and `this.props` when unmounting.
"
,,,https://github.com/facebook/react/issues/180,180,Auto-assigned keys can conflict with user-specified ones,[],closed,False,,3,2013-07-09T20:53:17Z,2013-09-06T16:38:46Z,2013-09-06T16:38:46Z,COLLABORATOR,completed,,"If you render

```
<div>
    <span key={1}>hello,</span>
    <span>world</span>
</div>
```

then React throws a duplicate-key error because the second span (""world"") is assigned a key of `1`, its index in the div's children.

Presumably it's best to simply avoid specifying only some keys but it would be nice if React could use separate namespaces for different key types (or at least provide a slightly more informative error message).
"
,,,https://github.com/facebook/react/issues/183,183,Parsing error for HTML entity in nested JSX.,"[{""id"":40929151,""node_id"":""MDU6TGFiZWw0MDkyOTE1MQ=="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Bug"",""name"":""Type: Bug"",""color"":""b60205"",""default"":false,""description"":null}]",closed,False,,11,2013-07-10T23:17:50Z,2016-01-13T22:19:43Z,2014-02-15T23:49:29Z,CONTRIBUTOR,completed,,"The html entity in the following causes a `SyntaxError: Unexpected token ;`  in both current master and React 0.3.

```
/** @jsx React.DOM */
var mylist = ['a', 'b', 'c'];
// Fails with entity below
React.renderComponent(
    <p>
        {mylist.map(function (id) {
            return (<span>{id} &nbsp;</span>);
        })}
    </p>, document.body);
```

JSFiddle: http://jsfiddle.net/VLmQt/
"
,,,https://github.com/facebook/react/issues/174,174,Pass rootNode for componentWillUnmount,"[{""id"":40929153,""node_id"":""MDU6TGFiZWw0MDkyOTE1Mw=="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Enhancement"",""name"":""Type: Enhancement"",""color"":""84b6eb"",""default"":false,""description"":null},{""id"":40929156,""node_id"":""MDU6TGFiZWw0MDkyOTE1Ng=="",""url"":""https://api.github.com/repos/facebook/react/labels/Resolution:%20Wontfix"",""name"":""Resolution: Wontfix"",""color"":""ffffff"",""default"":false,""description"":null}]",closed,False,,3,2013-07-07T02:28:43Z,2013-10-09T19:55:49Z,2013-10-09T19:55:49Z,CONTRIBUTOR,completed,,"Just like for `componentDidMount` and others.
"
,,,https://github.com/facebook/react/issues/238,238,Attaching of onclick handler causes unexpected highlighting in Mobile Safari,[],closed,False,,4,2013-07-29T01:12:58Z,2014-05-27T22:15:00Z,2014-05-27T20:44:08Z,COLLABORATOR,completed,,"@yungsters's recent commit 4deb0d619c06e8f0d30f972a6412d65f19b7f921 makes onClick work in Mobile Safari by attaching an empty `onclick` handler on touchstart. However, this causes subtly different behavior from DOM events without React. Consider the JSX:

``` html
<div onClick={...}>
    <img src=""a.png"" />
    <img src=""b.png"" />
</div>
```

When an image is tapped, the onclick handler is attached to the image and so when the browser draws the light gray touch highlight, only the image is highlighted.

Compare with the HTML

``` html
<div onclick=...>
    <img src=""a.png"">
    <img src=""b.png"">
</div>
```

where the entire div is highlighted when clicking.
"
,,,https://github.com/facebook/react/issues/271,271,React should support Content Security Policy,"[{""id"":40929153,""node_id"":""MDU6TGFiZWw0MDkyOTE1Mw=="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Enhancement"",""name"":""Type: Enhancement"",""color"":""84b6eb"",""default"":false,""description"":null}]",closed,False,,2,2013-08-16T22:48:45Z,2013-09-09T23:23:21Z,2013-09-09T23:23:21Z,NONE,completed,,"React is currently incompatible with sites that enable a Content Security Policy:

> Uncaught EvalError: Refused to evaluate a string as JavaScript because 'unsafe-eval' is not an allowed source of script in the following Content Security Policy directive: ""default-src 'self'"". [1]

From some quick testing, there appears to be only one place in React currently preforming evaluation from a string: https://github.com/facebook/react/blob/master/src/environment/ExecutionEnvironment.js#L39

```
- global: new Function('return this;')()
+ global: function() { return this; }()
```

This one-off is easy enough to fix in a single pull request that I'll gladly submit. However, I'm uneasy deploying React on a CSP-enabled site without a bit of integration testing and an understanding of whether CSP incompatibility issues even qualify as bugs. What's the official stance on React+Content-Security-Policy?

[1] https://dvcs.w3.org/hg/content-security-policy/raw-file/tip/csp-specification.dev.html#usage
"
